Region	Product 	Grand_Total
ASEAN	Other	 19,554 
ASEAN	Tech	 4,012 
ASEAN	Other	 3,259 
ASEAN	Tech	 2,500 
ASEAN	Tech	 1,955 
ASEAN	Tech	 1,948 
ASEAN	Apps	 1,816 
ASEAN	Apps	 1,792 
ASEAN	OFM	 1,695 
ASEAN	Tech	 1,645 
ASEAN	Tech	 1,644 
ASEAN	Systems	 1,629 
ASEAN	Tech	 1,500 
ASEAN	Apps	 1,439 
ASEAN	OFM	 1,400 
ASEAN	Apps	 1,378 
ASEAN	Systems	 1,204 
ASEAN	Systems	 1,204 
ASEAN	Apps	 1,149 
ASEAN	Tech	 1,140 
ASEAN	Tech	 1,106 
ASEAN	Tech	 1,102 
ASEAN	Apps	 1,062 
ASEAN	Tech	 1,057 
ASEAN	Apps	 1,000 
ASEAN	Tech	 987 
ASEAN	Tech	 987 
ASEAN	Tech	 987 
ASEAN	Tech	 987 
ASEAN	OFM	 987 
ASEAN	Tech	 987 
ASEAN	Tech	 978 
ASEAN	Tech	 978 
ASEAN	Tech	 978 
ASEAN	Tech	 978 
ASEAN	Tech	 978 
ASEAN	Tech	 978 
ASEAN	Tech	 925 
ASEAN	Tech	 925 
ASEAN	Apps	 919 
ASEAN	Tech	 900 
ASEAN	Tech	 871 
ASEAN	OFM	 823 
ASEAN	OFM	 823 
ASEAN	Apps	 823 
ASEAN	Tech	 822 
ASEAN	Tech	 815 
ASEAN	Tech	 802 
ASEAN	OFM	 802 
ASEAN	Tech	 802 
ASEAN	Tech	 801 
ASEAN	Tech	 799 
ASEAN	Tech	 790 
ASEAN	Tech	 760 
ASEAN	Tech	 757 
ASEAN	Tech	 757 
ASEAN	Systems	 750 
ASEAN	Apps	 691 
ASEAN	Tech	 689 
ASEAN	Apps	 658 
ASEAN	Tech	 658 
ASEAN	Systems	 658 
ASEAN	Systems	 658 
ASEAN	Systems	 658 
ASEAN	Tech	 658 
ASEAN	OFM	 658 
ASEAN	Tech	 655 
ASEAN	Tech	 655 
ASEAN	Systems	 652 
ASEAN	Tech	 650 
ASEAN	Tech	 644 
ASEAN	Tech	 616 
ASEAN	Tech	 616 
ASEAN	Tech	 600 
ASEAN	OFM	 600 
ASEAN	Systems	 600 
ASEAN	Systems	 600 
ASEAN	Systems	 600 
ASEAN	Systems	 600 
ASEAN	Systems	 600 
ASEAN	Apps	 587 
ASEAN	Tech	 587 
ASEAN	Tech	 587 
ASEAN	OFM	 580 
ASEAN	OFM	 580 
ASEAN	Tech	 570 
ASEAN	Tech	 543 
ASEAN	Apps	 529 
ASEAN	Tech	 514 
ASEAN	Tech	 500 
ASEAN	Tech	 500 
ASEAN	Apps	 500 
ASEAN	Apps	 500 
ASEAN	Tech	 500 
ASEAN	Systems	 500 
ASEAN	Systems	 500 
ASEAN	Systems	 500 
ASEAN	Systems	 500 
ASEAN	Systems	 500 
ASEAN	Tech	 500 
ASEAN	Tech	 500 
ASEAN	Tech	 499 
ASEAN	Tech	 497 
ASEAN	Tech	 494 
ASEAN	Systems	 494 
ASEAN	Apps	 494 
ASEAN	OFM	 494 
ASEAN	Tech	 489 
ASEAN	Systems	 489 
ASEAN	Tech	 487 
ASEAN	Tech	 469 
ASEAN	Tech	 467 
ASEAN	Tech	 461 
ASEAN	Tech	 459 
ASEAN	OFM	 452 
ASEAN	Apps	 440 
ASEAN	Tech	 433 
ASEAN	Tech	 428 
ASEAN	Apps	 424 
ASEAN	Systems	 420 
ASEAN	Tech	 411 
ASEAN	Systems	 401 
ASEAN	Apps	 401 
ASEAN	Apps	 400 
ASEAN	Apps	 400 
ASEAN	Systems	 400 
ASEAN	Systems	 400 
ASEAN	OFM	 400 
ASEAN	Tech	 400 
ASEAN	Systems	 400 
ASEAN	OFM	 398 
ASEAN	Tech	 398 
ASEAN	Tech	 390 
ASEAN	Tech	 389 
ASEAN	OFM	 383 
ASEAN	Tech	 380 
ASEAN	Tech	 380 
ASEAN	Apps	 379 
ASEAN	Tech	 375 
ASEAN	Tech	 373 
ASEAN	Tech	 373 
ASEAN	Tech	 373 
ASEAN	Tech	 370 
ASEAN	Tech	 361 
ASEAN	Systems	 360 
ASEAN	Systems	 350 
ASEAN	Systems	 350 
ASEAN	Tech	 350 
ASEAN	Tech	 345 
ASEAN	Apps	 345 
ASEAN	Systems	 345 
ASEAN	OFM	 341 
ASEAN	Tech	 330 
ASEAN	Apps	 329 
ASEAN	Apps	 329 
ASEAN	Apps	 329 
ASEAN	Tech	 329 
ASEAN	Apps	 329 
ASEAN	Tech	 329 
ASEAN	Tech	 329 
ASEAN	Tech	 329 
ASEAN	Apps	 329 
ASEAN	Other	 329 
ASEAN	Systems	 329 
ASEAN	Tech	 326 
ASEAN	Tech	 326 
ASEAN	OFM	 326 
ASEAN	Apps	 326 
ASEAN	Systems	 326 
ASEAN	Tech	 326 
ASEAN	Apps	 322 
ASEAN	Tech	 309 
ASEAN	Tech	 308 
ASEAN	Tech	 308 
ASEAN	Tech	 308 
ASEAN	Tech	 308 
ASEAN	Tech	 308 
ASEAN	OFM	 300 
ASEAN	Apps	 300 
ASEAN	OFM	 300 
ASEAN	Tech	 300 
ASEAN	Tech	 300 
ASEAN	OFM	 300 
ASEAN	Tech	 300 
ASEAN	Tech	 300 
ASEAN	Apps	 300 
ASEAN	Apps	 300 
ASEAN	Apps	 300 
ASEAN	Tech	 300 
ASEAN	Tech	 300 
ASEAN	Other	 300 
ASEAN	Systems	 293 
ASEAN	Apps	 285 
ASEAN	Tech	 285 
ASEAN	Tech	 284 
ASEAN	Apps	 281 
ASEAN	Tech	 277 
ASEAN	Apps	 276 
ASEAN	Apps	 265 
ASEAN	Apps	 265 
ASEAN	Tech	 263 
ASEAN	Apps	 263 
ASEAN	Tech	 263 
ASEAN	Tech	 262 
ASEAN	Tech	 261 
ASEAN	OFM	 261 
ASEAN	Tech	 259 
ASEAN	Tech	 257 
ASEAN	Tech	 257 
ASEAN	OFM	 257 
ASEAN	Tech	 250 
ASEAN	Apps	 250 
ASEAN	OFM	 250 
ASEAN	Apps	 250 
ASEAN	Tech	 250 
ASEAN	Tech	 250 
ASEAN	Systems	 241 
ASEAN	Systems	 240 
ASEAN	Tech	 238 
ASEAN	Apps	 236 
ASEAN	Apps	 236 
ASEAN	Systems	 233 
ASEAN	Tech	 232 
ASEAN	Tech	 232 
ASEAN	Tech	 232 
ASEAN	Tech	 232 
ASEAN	Tech	 232 
ASEAN	Systems	 230 
ASEAN	Systems	 230 
ASEAN	Tech	 228 
ASEAN	OFM	 225 
ASEAN	Apps	 220 
ASEAN	Apps	 220 
ASEAN	Apps	 220 
ASEAN	Tech	 216 
ASEAN	Tech	 216 
ASEAN	Systems	 215 
ASEAN	Tech	 212 
ASEAN	Apps	 210 
ASEAN	Tech	 205 
ASEAN	Tech	 205 
ASEAN	Tech	 205 
ASEAN	Tech	 205 
ASEAN	Apps	 201 
ASEAN	Apps	 201 
ASEAN	Apps	 201 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	Tech	 200 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	Apps	 200 
ASEAN	Other	 200 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	Apps	 200 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	Apps	 200 
ASEAN	OFM	 200 
ASEAN	Apps	 200 
ASEAN	Tech	 200 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	OFM	 200 
ASEAN	Tech	 200 
ASEAN	Systems	 200 
ASEAN	Systems	 200 
ASEAN	Systems	 200 
ASEAN	Apps	 200 
ASEAN	Tech	 200 
ASEAN	Apps	 200 
ASEAN	OFM	 200 
ASEAN	Apps	 197 
ASEAN	Tech	 197 
ASEAN	OFM	 197 
ASEAN	Apps	 197 
ASEAN	Apps	 197 
ASEAN	Other	 197 
ASEAN	Tech	 196 
ASEAN	Tech	 196 
ASEAN	Tech	 196 
ASEAN	Apps	 191 
ASEAN	Tech	 185 
ASEAN	Apps	 185 
ASEAN	Apps	 185 
ASEAN	Tech	 184 
ASEAN	Apps	 184 
ASEAN	Apps	 180 
ASEAN	Apps	 176 
ASEAN	Tech	 175 
ASEAN	Tech	 175 
ASEAN	Tech	 175 
ASEAN	OFM	 173 
ASEAN	OFM	 172 
ASEAN	Tech	 171 
ASEAN	OFM	 168 
ASEAN	Tech	 166 
ASEAN	Tech	 166 
ASEAN	Apps	 165 
ASEAN	OFM	 165 
ASEAN	Tech	 165 
ASEAN	OFM	 165 
ASEAN	Tech	 163 
ASEAN	Apps	 163 
ASEAN	Apps	 163 
ASEAN	Apps	 163 
ASEAN	OFM	 163 
ASEAN	Tech	 163 
ASEAN	Tech	 163 
ASEAN	Tech	 163 
ASEAN	Tech	 161 
ASEAN	Apps	 160 
ASEAN	OFM	 160 
ASEAN	Apps	 160 
ASEAN	Apps	 160 
ASEAN	Apps	 159 
ASEAN	Apps	 159 
ASEAN	Tech	 157 
ASEAN	Tech	 156 
ASEAN	Tech	 154 
ASEAN	Tech	 154 
ASEAN	Tech	 154 
ASEAN	Tech	 154 
ASEAN	Tech	 153 
ASEAN	Systems	 152 
ASEAN	Tech	 151 
ASEAN	Apps	 151 
ASEAN	Tech	 150 
ASEAN	Tech	 150 
ASEAN	Tech	 150 
ASEAN	Tech	 150 
ASEAN	Tech	 150 
ASEAN	Apps	 150 
ASEAN	Tech	 150 
ASEAN	OFM	 150 
ASEAN	OFM	 150 
ASEAN	OFM	 150 
ASEAN	Apps	 150 
ASEAN	Tech	 150 
