Region	Product 	Grand_Total
GC	Tech	 8,472 
GC	Apps	 7,702 
GC	Tech	 5,385 
GC	Systems	 4,621 
GC	Tech	 3,851 
GC	Systems	 3,081 
GC	Other	 2,570 
GC	Tech	 2,311 
GC	OFM	 2,157 
GC	Systems	 1,771 
GC	Systems	 1,771 
GC	Systems	 1,771 
GC	Tech	 1,617 
GC	Tech	 1,540 
GC	OFM	 1,540 
GC	Tech	 1,540 
GC	Apps	 1,540 
GC	Tech	 1,540 
GC	Tech	 1,540 
GC	Apps	 1,442 
GC	Systems	 1,350 
GC	Apps	 1,285 
GC	Apps	 1,232 
GC	Apps	 1,232 
GC	Apps	 1,232 
GC	Tech	 1,232 
GC	Other	 1,232 
GC	Systems	 1,232 
GC	Tech	 1,232 
GC	OFM	 1,155 
GC	Tech	 1,109 
GC	Tech	 1,078 
GC	Systems	 1,078 
GC	Tech	 1,078 
GC	Systems	 1,078 
GC	Tech	 1,034 
GC	Tech	 970 
GC	Apps	 924 
GC	Apps	 924 
GC	Apps	 924 
GC	Apps	 924 
GC	Apps	 924 
GC	Apps	 924 
GC	Tech	 924 
GC	Apps	 924 
GC	Tech	 924 
GC	Tech	 870 
GC	Tech	 863 
GC	Tech	 847 
GC	Apps	 841 
GC	Systems	 835 
GC	Tech	 832 
GC	Systems	 771 
GC	Apps	 770 
GC	Apps	 770 
GC	Tech	 770 
GC	Apps	 770 
GC	OFM	 770 
GC	Apps	 770 
GC	Apps	 770 
GC	Apps	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Apps	 770 
GC	Tech	 770 
GC	Apps	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Apps	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Tech	 770 
GC	Systems	 770 
GC	Systems	 770 
GC	Apps	 770 
GC	Apps	 739 
GC	Tech	 736 
GC	Apps	 702 
GC	Tech	 693 
GC	Systems	 693 
GC	Apps	 689 
GC	Apps	 689 
GC	Systems	 689 
GC	Systems	 689 
GC	Systems	 647 
GC	Apps	 642 
GC	Apps	 642 
GC	Apps	 642 
GC	Apps	 642 
GC	Apps	 642 
GC	Tech	 641 
GC	Tech	 631 
GC	Systems	 616 
GC	Apps	 616 
GC	Apps	 616 
GC	Apps	 616 
GC	Tech	 616 
GC	Apps	 616 
GC	Tech	 616 
GC	OFM	 616 
GC	Tech	 616 
GC	Tech	 616 
GC	Other	 616 
GC	Tech	 616 
GC	Tech	 616 
GC	Tech	 616 
GC	Tech	 583 
GC	Tech	 573 
GC	Apps	 570 
GC	Tech	 552 
GC	OFM	 539 
GC	Tech	 539 
GC	Tech	 539 
GC	Apps	 539 
GC	Systems	 539 
GC	Tech	 538 
GC	Apps	 525 
GC	Apps	 517 
GC	Tech	 517 
GC	Tech	 508 
GC	Systems	 504 
GC	Tech	 472 
GC	OFM	 462 
GC	Tech	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	OFM	 462 
GC	OFM	 462 
GC	Systems	 462 
GC	Tech	 462 
GC	Tech	 462 
GC	Tech	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	OFM	 462 
GC	Tech	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	OFM	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	OFM	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	Other	 462 
GC	Other	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	Systems	 462 
GC	Apps	 462 
GC	Tech	 462 
GC	Apps	 462 
GC	Systems	 462 
GC	Tech	 462 
GC	OFM	 456 
GC	Tech	 450 
GC	Apps	 436 
GC	Apps	 436 
GC	Apps	 431 
GC	Apps	 431 
GC	Tech	 431 
GC	Apps	 431 
GC	Tech	 428 
GC	Tech	 427 
GC	Tech	 422 
GC	Tech	 420 
GC	Tech	 414 
GC	Tech	 411 
GC	Apps	 400 
GC	Apps	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Apps	 385 
GC	Systems	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Apps	 385 
GC	Tech	 385 
GC	Apps	 385 
GC	Apps	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Apps	 385 
GC	Apps	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Apps	 385 
GC	Apps	 385 
GC	Apps	 385 
GC	Apps	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Tech	 385 
GC	Systems	 385 
GC	Systems	 385 
GC	Systems	 385 
GC	Systems	 385 
GC	Apps	 385 
GC	Tech	 376 
GC	Systems	 370 
GC	Systems	 370 
GC	Systems	 370 
GC	Systems	 370 
GC	Tech	 365 
GC	Apps	 354 
GC	Tech	 354 
GC	Tech	 354 
GC	Apps	 345 
GC	Systems	 345 
GC	Apps	 345 
GC	Apps	 345 
GC	Apps	 345 
GC	Systems	 344 
GC	Systems	 339 
GC	Tech	 327 
GC	Tech	 327 
GC	Systems	 321 
GC	Systems	 321 
GC	Tech	 321 
GC	Apps	 317 
GC	Apps	 317 
GC	Apps	 315 
GC	Tech	 310 
GC	Apps	 310 
GC	Apps	 308 
GC	Apps	 308 
GC	OFM	 308 
GC	Apps	 308 
GC	OFM	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	OFM	 308 
GC	OFM	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Systems	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	OFM	 308 
GC	OFM	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	OFM	 308 
GC	Systems	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Tech	 308 
GC	OFM	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	OFM	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Systems	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Apps	 308 
GC	Systems	 308 
GC	Tech	 308 
GC	Apps	 308 
GC	Systems	 308 
GC	Systems	 308 
GC	Tech	 308 
GC	OFM	 300 
GC	Tech	 300 
GC	Tech	 294 
GC	OFM	 286 
GC	Tech	 277 
GC	Tech	 277 
GC	Tech	 277 
GC	Tech	 277 
GC	Apps	 277 
GC	Tech	 277 
GC	Apps	 277 
GC	Tech	 277 
GC	Systems	 277 
GC	Tech	 276 
GC	Apps	 276 
GC	OFM	 270 
GC	Tech	 270 
GC	Tech	 265 
GC	Tech	 262 
GC	Tech	 262 
GC	Apps	 262 
GC	Apps	 262 
GC	Apps	 262 
GC	Tech	 262 
GC	Systems	 262 
GC	Systems	 262 
GC	Tech	 259 
GC	Tech	 258 
GC	Systems	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Apps	 257 
GC	Systems	 257 
GC	Tech	 257 
GC	Apps	 257 
GC	Tech	 257 
GC	Systems	 257 
GC	Apps	 257 
GC	OFM	 257 
GC	Systems	 257 
GC	Tech	 255 
GC	Tech	 254 
GC	Systems	 254 
GC	Tech	 247 
GC	Tech	 246 
GC	Tech	 246 
GC	Tech	 246 
GC	Tech	 246 
GC	Tech	 246 
GC	OFM	 246 
GC	Apps	 246 
GC	Apps	 246 
GC	Apps	 246 
GC	Apps	 246 
GC	Tech	 246 
GC	Tech	 246 
GC	OFM	 243 
GC	OFM	 241 
GC	Tech	 241 
GC	Tech	 241 
GC	Tech	 241 
GC	Apps	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	OFM	 231 
GC	OFM	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	OFM	 231 
GC	OFM	 231 
GC	OFM	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	Apps	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	OFM	 231 
GC	Apps	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Apps	 231 
GC	Apps	 231 
GC	Apps	 231 
GC	Apps	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Systems	 231 
GC	Apps	 231 
GC	OFM	 231 
GC	Tech	 231 
GC	Tech	 231 
GC	Apps	 230 
GC	Tech	 224 
GC	Apps	 216 
GC	Tech	 216 
GC	Apps	 216 
GC	Apps	 216 
GC	Tech	 216 
GC	OFM	 214 
GC	Apps	 211 
GC	Apps	 208 
GC	Tech	 207 
GC	Tech	 207 
GC	Tech	 207 
GC	Tech	 207 
GC	Tech	 207 
GC	Systems	 207 
GC	Tech	 207 
GC	Tech	 206 
GC	Tech	 206 
GC	Apps	 203 
GC	Tech	 203 
GC	Tech	 203 
GC	Apps	 200 
GC	Apps	 200 
GC	Systems	 200 
GC	Apps	 200 
GC	OFM	 200 
GC	OFM	 200 
GC	Apps	 200 
GC	Apps	 199 
GC	OFM	 199 
GC	Tech	 197 
GC	Apps	 195 
GC	Systems	 193 
GC	Systems	 193 
GC	Systems	 193 
GC	OFM	 193 
GC	Tech	 193 
GC	Apps	 193 
GC	OFM	 188 
GC	OFM	 187 
GC	Tech	 185 
GC	Tech	 185 
GC	Apps	 185 
GC	Tech	 185 
GC	Apps	 185 
GC	Tech	 185 
GC	Tech	 185 
GC	Tech	 185 
GC	Tech	 185 
GC	Apps	 185 
GC	Tech	 185 
GC	Apps	 185 
GC	Tech	 185 
GC	Apps	 185 
GC	Tech	 185 
GC	Tech	 185 
GC	Apps	 185 
GC	Tech	 185 
GC	Tech	 185 
GC	Systems	 185 
GC	Tech	 185 
GC	Tech	 185 
GC	Tech	 184 
GC	Apps	 184 
GC	Tech	 183 
GC	Tech	 179 
GC	Tech	 179 
GC	Apps	 175 
GC	Apps	 175 
GC	Systems	 172 
GC	OFM	 172 
GC	OFM	 172 
GC	OFM	 172 
GC	Tech	 172 
GC	Tech	 172 
GC	Tech	 172 
GC	Tech	 172 
GC	Apps	 172 
GC	Tech	 172 
GC	Apps	 172 
GC	Tech	 172 
GC	Apps	 172 
GC	Tech	 172 
GC	Tech	 172 
GC	Tech	 171 
GC	Tech	 171 
GC	Tech	 169 
GC	Apps	 169 
GC	OFM	 169 
GC	Tech	 169 
GC	Apps	 169 
GC	Apps	 169 
GC	Apps	 167 
GC	Tech	 165 
GC	Tech	 165 
GC	Apps	 165 
GC	Apps	 165 
GC	Apps	 163 
GC	Tech	 163 
GC	Tech	 162 
GC	Tech	 161 
GC	Systems	 161 
GC	Tech	 160 
GC	Tech	 160 
GC	Apps	 159 
GC	Apps	 159 
GC	Apps	 159 
GC	Apps	 159 
GC	Apps	 159 
GC	Apps	 159 
GC	Apps	 158 
GC	Apps	 158 
GC	Apps	 157 
GC	Tech	 155 
GC	Tech	 155 
GC	Apps	 154 
GC	Apps	 154 
GC	Systems	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	OFM	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	OFM	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	OFM	 154 
GC	OFM	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	OFM	 154 
GC	Tech	 154 
GC	OFM	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	OFM	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	OFM	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Other	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	OFM	 154 
GC	OFM	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	OFM	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Tech	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
GC	Apps	 154 
