Region	Product 	Grand_Total
ANZ	Apps	 10,590 
ANZ	Apps	 10,590 
ANZ	Systems	 6,354 
ANZ	Apps	 5,295 
ANZ	Systems	 3,706 
ANZ	Systems	 3,706 
ANZ	Tech	 2,118 
ANZ	Apps	 2,118 
ANZ	OFM	 2,118 
ANZ	Apps	 1,588 
ANZ	Apps	 1,588 
ANZ	OFM	 1,588 
ANZ	Systems	 1,483 
ANZ	Apps	 1,324 
ANZ	Systems	 1,271 
ANZ	Apps	 1,215 
ANZ	Other	 1,059 
ANZ	Tech	 1,059 
ANZ	Apps	 1,059 
ANZ	Apps	 1,059 
ANZ	Apps	 1,059 
ANZ	Systems	 1,059 
ANZ	Tech	 1,059 
ANZ	Apps	 1,059 
ANZ	Apps	 1,059 
ANZ	Systems	 1,059 
ANZ	Apps	 1,059 
ANZ	Other	 1,000 
ANZ	OFM	 980 
ANZ	Apps	 953 
ANZ	Apps	 847 
ANZ	Apps	 847 
ANZ	Systems	 810 
ANZ	OFM	 810 
ANZ	Apps	 810 
ANZ	Systems	 794 
ANZ	Systems	 741 
ANZ	Apps	 741 
ANZ	Apps	 741 
ANZ	Apps	 741 
ANZ	OFM	 738 
ANZ	Systems	 667 
ANZ	Tech	 635 
ANZ	Tech	 635 
ANZ	Systems	 635 
ANZ	Apps	 623 
ANZ	Tech	 616 
ANZ	OFM	 608 
ANZ	Systems	 608 
ANZ	Apps	 606 
ANZ	Apps	 582 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Apps	 529 
ANZ	OFM	 529 
ANZ	Apps	 529 
ANZ	Apps	 529 
ANZ	Apps	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Apps	 529 
ANZ	Tech	 529 
ANZ	OFM	 529 
ANZ	Tech	 529 
ANZ	Apps	 529 
ANZ	Apps	 529 
ANZ	Apps	 529 
ANZ	Tech	 529 
ANZ	Apps	 529 
ANZ	Apps	 529 
ANZ	Apps	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Apps	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Tech	 529 
ANZ	Apps	 529 
ANZ	OFM	 529 
ANZ	Tech	 529 
